Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,24,TOR,9,0,19.8,3.1,6.9,.452,0.4,1.9,.235,2.7,5.0,.533,.484,0.8,1.2,.636,1.9,4.6,6.4,2.2,0.4,0.3,1.4,2.0,7.4
Bam Adebayo,C,26,MIA,13,13,34.4,8.3,15.5,.537,0.1,0.2,.500,8.2,15.3,.538,.540,6.2,7.5,.825,2.2,8.0,10.2,4.1,1.3,1.1,2.7,2.4,22.8
Ochai Agbaji,SG,23,UTA,14,6,19.0,1.6,4.1,.397,0.9,2.5,.371,0.7,1.6,.435,.509,0.1,0.3,.500,1.0,1.9,2.9,0.9,0.4,0.8,0.6,1.6,4.4
Santi Aldama,PF,23,MEM,7,1,25.7,5.9,12.9,.456,2.1,5.7,.375,3.7,7.1,.520,.539,0.9,1.7,.500,1.3,5.1,6.4,2.6,0.7,0.7,1.7,1.4,14.7
Nickeil Alexander-Walker,SG,25,MIN,13,2,20.8,2.2,5.2,.426,1.2,3.3,.372,1.0,1.9,.520,.544,0.2,0.5,.333,0.2,1.7,1.8,2.5,0.8,0.8,0.9,1.5,5.8
Grayson Allen,SG,28,PHO,14,14,32.1,4.3,8.7,.492,2.5,5.1,.486,1.8,3.6,.500,.635,0.9,1.0,.929,0.9,3.9,4.8,2.9,0.6,0.4,1.6,2.3,12.0
Jarrett Allen,C,25,CLE,9,9,27.9,5.0,8.0,.625,0.0,0.0,,5.0,8.0,.625,.625,3.6,4.8,.744,3.1,4.7,7.8,2.2,0.4,1.2,1.8,2.4,13.6
Jose Alvarado,PG,25,NOP,1,0,15.0,2.0,5.0,.400,1.0,3.0,.333,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0
Kyle Anderson,PF,30,MIN,13,0,24.8,3.1,5.5,.556,0.2,0.8,.200,2.9,4.8,.613,.569,1.3,2.1,.630,0.7,3.0,3.7,4.2,1.1,0.9,1.8,1.5,7.6
Giannis Antetokounmpo,PF,29,MIL,13,13,32.7,11.8,19.1,.621,0.5,2.1,.259,11.3,17.0,.665,.635,6.0,9.7,.619,2.4,7.8,10.2,4.6,1.0,1.2,4.2,3.0,30.2
