playerid,position,height,weight,birthday,country,school,draft_year,API_Names
1630173,Forward,6-8,225,1999-09-19,Nigeria,Memphis,2020,Precious Achiuwa
1628389,Center-Forward,6-9,255,1997-07-18,USA,Kentucky,2017,Bam Adebayo
1630534,Guard,6-5,215,2000-04-20,USA,Kansas,2022,Ochai Agbaji
1630583,Forward-Center,7-0,215,2001-01-10,Spain,Loyola-Maryland,2021,Santi Aldama
1629638,Guard,6-5,205,1998-09-02,Canada,Virginia Tech,2019,Nickeil Alexander-Walker
1628960,Guard,6-4,198,1995-10-08,USA,Duke,2018,Grayson Allen
1628386,Center,6-9,243,1998-04-21,USA,Texas,2017,Jarrett Allen
1630631,Guard,6-0,179,1998-04-12,USA,Georgia Tech,2021,Jose Alvarado
203937,Forward-Guard,6-9,230,1993-09-20,USA,UCLA,2014,Kyle Anderson
203507,Forward,7-0,243,1994-12-06,Greece,Filathlitikos,2013,Giannis Antetokounmpo
1628961,Forward,6-10,200,1997-11-20,Greece,University of Dayton,2018,Giannis Antetokounmpo
203648,Forward,6-7,219,1992-07-18,Greece,Panathinaikos,2014,Thanasis Antetokounmpo
1630175,Guard,6-3,185,2000-05-15,USA,North Carolina,2020,Cole Anthony
1628384,Forward,6-7,232,1997-07-17,United Kingdom,Indiana,2017,OG Anunoby
1627853,Guard,6-3,195,1994-03-26,USA,Villanova,2017,Ryan Arcidiacono
1630166,Forward,6-9,210,2001-01-03,Israel,Maccabi Tel Aviv,2020,Deni Avdija
1629028,Center,7-0,250,1998-07-23,Bahamas,Arizona,2018,Deandre Ayton
1628962,Center-Forward,6-11,270,1999-09-17,Nigeria,Kansas,2020,Udoka Azubuike
1628963,Forward,6-10,235,1999-03-14,USA,Duke,2018,Marvin Bagley III
1631116,Forward,6-9,220,2002-11-18,USA,Wisconsin-Milwaukee,2022,Patrick Baldwin Jr.
1630163,Guard,6-7,180,2001-08-22,USA,Illawarra,2020,LaMelo Ball
1628964,Center,7-0,231,1998-05-12,USA,Texas,2018,Mo Bamba
1631094,Forward,6-10,250,2002-11-12,USA,Duke,2022,Paolo Banchero
1630217,Guard,6-5,215,1998-06-25,USA,TCU,2020,Desmond Bane
1630625,Forward,6-7,204,1999-11-07,Canada,Nebraska,2021,Dalano Banton
203084,Forward,6-8,225,1992-05-30,USA,North Carolina,2012,Harrison Barnes
1630567,Forward,6-8,225,2001-08-01,USA,Florida State,2021,Scottie Barnes
1629628,Forward-Guard,6-6,214,2000-06-14,Canada,Duke,2019,RJ Barrett
1629646,Center-Forward,6-9,230,2000-10-28,Nigeria,Western Kentucky,2021,Charles Bassey
1628966,Forward,6-8,229,1996-01-23,USA,Ohio State,2018,Keita Bates-Diop
201587,Guard-Forward,6-8,230,1988-12-14,France,Le Mans,2008,Nicolas Batum
1629647,Forward,6-9,216,2000-06-12,USA,Princeton HS (OH),2019,Amari Bailey
203078,Guard,6-4,207,1993-06-28,USA,Florida,2012,Bradley Beal
1627736,Guard,6-4,187,1996-11-26,USA,Florida State,2016,Malik Beasley
1630699,Forward,6-7,199,2000-10-12,USA,NBA G League Ignite,2022,MarJon Beauchamp
202722,Forward,6-10,225,1992-11-12,Latvia,Baskonia,2011,Dāvis Bertāns
201976,Guard,6-2,180,1988-07-12,USA,Arkansas,2009,Patrick Beverley
1630180,Forward,6-7,215,1999-04-09,USA,Villanova,2020,Saddiq Bey
1629048,Center-Forward,6-11,250,1999-07-20,Georgia,Mega Basket,2019,Goga Bitadze
202687,Center,6-8,255,1992-08-28,DRC,Baloncesto Fuenlabrada,2011,Bismack Biyombo
203992,Guard,6-5,225,1992-08-18,Serbia,Fenerbahce,2014,Bogdan Bogdanović
202711,Forward,6-7,226,1989-04-18,Croatia,Fenerbahce,2011,Bogdan Bogdanović
1629626,Center-Forward,7-2,220,1999-11-16,Sudan,Oregon,2019,Bol Bol
1626164,Guard,6-5,206,1996-10-30,USA,Kentucky,2015,Devin Booker
1630527,Guard,6-6,188,2001-11-28,USA,Kentucky,2021,Troy Brown Jr.
1628449,Forward-Center,6-9,200,1993-01-11,Saint Lucia,Oregon,2017,Chris Boucher
1631123,Guard,6-2,180,1999-06-27,USA,San Francisco,2022,Jamaree Bouyea
1631103,Forward,6-4,180,2003-05-12,USA,Ohio State,2022,Malaki Branham
1629714,Forward,6-5,250,1996-06-07,USA,College of Charleston,2019,Jared Butler
1631128,Guard,6-6,220,2001-04-17,USA,Kansas,2022,Christian Braun
1628969,Guard-Forward,6-6,209,1996-08-30,USA,Villanova,2018,Mikal Bridges
1629052,Forward-Guard,6-7,210,1998-06-20,Canada,Syracuse,2019,Oshae Brissett
1627763,Guard,6-4,229,1992-12-11,USA,Virginia,2016,Malcolm Brogdon
1628415,Guard-Forward,6-6,225,1996-01-22,Canada,Oregon,2017,Dillon Brooks
1628971,Guard-Forward,6-4,202,1996-08-15,USA,Miami,2018,Bruce Brown
1627759,Guard-Forward,6-6,223,1996-10-24,USA,California,2016,Jaylen Brown
1631112,Guard,6-7,205,2003-05-11,USA,Baylor,2022,Kobe Brown
1629650,Center,7-2,245,1999-10-13,USA,UCLA,2019,Moses Brown
1628425,Guard-Forward,6-5,219,1995-02-10,USA,Southern Methodist,2017,Jaylen Brown
1630535,Forward,6-7,206,2001-09-01,USA,Texas,2021,Bruce Brown
1628972,Guard-Forward,6-7,215,1999-07-28,USA,Oregon,2018,Troy Brown Jr.
1628973,Guard,6-2,190,1996-08-31,USA,Villanova,2018,Jalen Brunson
1628418,Center-Forward,6-10,248,1997-07-31,USA,Indiana,2017,Thomas Bryant
203493,Guard-Forward,6-6,205,1991-03-16,USA,North Carolina,2013,Reggie Bullock
202692,Guard,6-6,214,1991-07-20,USA,Colorado,2011,Alec Burks
1629126,Guard-Forward,6-4,240,1994-01-31,USA,Iowa State,2018,Dejounte Murray
1630215,Guard,6-3,193,2000-08-25,USA,Baylor,2021,Jared Butler
202710,Forward,6-7,230,1989-09-14,USA,Marquette,2011,Jimmy Butler
1631219,Forward,7-0,190,2002-12-04,USA,Florida State,2022,Ron Harper Jr.
1631288,Forward,6-6,191,1999-03-20,USA,Oakland,2022,Jamal Cain
203484,Guard,6-5,204,1993-02-18,USA,Georgia,2013,Kentavious Caldwell-Pope
203991,Center,6-10,256,1994-05-18,Switzerland,Elan Chalon,2014,Clint Capela
1630176,Center,6-10,270,2001-02-25,USA,Duke,2020,Ron Harper Jr.
1628975,Guard,6-1,200,1995-09-14,USA,West Virginia,2018,Jevon Carter
1628976,Center-Forward,6-10,270,1999-04-16,USA,Duke,2018,Wendell Carter Jr.
203487,Guard,6-5,190,1991-10-10,USA,Syracuse,2013,Ziaire Williams
1627936,Guard,6-5,186,1994-02-28,USA,Texas A&M,2017,Alex Caruso
1630577,Forward,6-7,217,2001-06-29,USA,St. John's,2022,Julian Champagnie
1630551,Guard-Forward,6-6,206,2001-06-29,USA,Pittsburgh,2021,Julian Champagnie
1631108,Guard,6-5,190,2003-02-10,USA,Michigan State,2022,Max Christie
1630528,Guard,6-4,215,2001-12-08,USA,Arizona State,2021,Chris Boucher
1629634,Forward,6-8,215,1996-09-19,Canada,Gonzaga,2019,Brandon Miller
203903,Guard,6-5,194,1992-06-07,USA,Missouri,2014,Jordan Clarkson
1629651,Center,6-11,215,1999-04-17,USA,Georgia,2019,Nic Claxton
1629599,Guard-Forward,6-7,210,1997-06-17,USA,Minnesota,2019,Amir Coffey
1628381,Forward-Center,6-9,226,1997-09-23,USA,Wake Forest,2017,John Collins
1628380,Forward-Center,6-11,250,1997-11-19,USA,Gonzaga,2017,Zach Collins
